Category,Description,Nutrient Data Bank Number,Alpha Carotene,Beta Carotene,Beta Cryptoxanthin,Carbohydrate,Cholesterol,Choline,Fiber,Lutein and Zeaxanthin,Lycopene,Niacin,Protein,Retinol,Riboflavin,Selenium,Sugar Total,Thiamin,Water,Fat.Monosaturated Fat,Fat.Polysaturated Fat,Fat.Saturated Fat,Fat.Total Lipid,Major Minerals.Calcium,Major Minerals.Copper,Major Minerals.Iron,Major Minerals.Magnesium,Major Minerals.Phosphorus,Major Minerals.Potassium,Major Minerals.Sodium,Major Minerals.Zinc,Vitamins.Vitamin A - RAE,Vitamins.Vitamin B12,Vitamins.Vitamin B6,Vitamins.Vitamin C,Vitamins.Vitamin E,Vitamins.Vitamin K
Vegetable juice,"Tomato juice, 100%, low sodium",74301150,210,830,0,4.59,0,7.2,0.8,80,9660,0.73,0.6,0,0.03,0.5,3.28,0.04,93.5,0.016,0.042,0.014,0.1,11,0.2,0.42,11,17,193,58,0.2,78,0,0.14,27.7,0.32,5.3
Vegetable juice,"Tomato and vegetable juice, 100%",74303000,93,377,0,3.87,0,8.1,0.5,278,7119,0.722,0.93,0,0.033,0.2,2.84,0.05,94.09,0.06,0.076,0.088,0.31,14,0.068,0.28,11,19,185,169,0.12,35,0,0.071,54.3,1.02,6.1
Vegetable juice,Mixed vegetable juice,75132000,2171,4786,0,6.12,0,8,1.2,308,1,0.353,0.82,0,0.056,0.5,2.62,0.056,92.15,0.02,0.075,0.034,0.16,32,0.04,0.33,12,33,276,73,0.16,489,0,0.146,5.8,0.72,22.4
Vegetable juice,"Tomato juice, 100%",74301100,0,270,0,3.53,0,6.8,0.4,60,9037,0.673,0.85,0,0.078,0.5,2.58,0.1,94.24,0.005,0.027,0.019,0.29,10,0.042,0.39,11,19,217,253,0.11,23,0,0.07,70.1,0.32,2.3
Vegetable juice,Celery juice,75132100,0,270,0,2.97,0,6.1,1.6,283,0,0.32,0.69,0,0.057,0.4,1.34,0.021,95.43,0.032,0.079,0.042,0.17,40,0.035,0.2,11,24,260,80,0.13,22,0,0.074,3.1,0.27,29.3
Water,"Water, bottled, flavored (Glaceau Vitamin Water)",94210200,0,0,0,5.49,0,0,0,0,0,0.844,0,32,0,0,5.49,0,94.44,0,0,0,0,17,0.007,0,3,0,0,0,0.32,32,0.25,0.084,12.7,1.9,0
Water,"Water, bottled, flavored (Capri Sun Roarin' Waters)",94100300,0,0,0,4.5,0,0,0,0,0,0.844,0,32,0,0,4.5,0,94.44,0,0,0,0,17,0.007,0,3,0,0,8,0.32,32,0.25,0.084,12.7,1.9,0
Water,"Water, tap",94000100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9,0,0,0,0,3,0.01,0,1,0,0,4,0.01,0,0,0,0,0,0
Water,"Water, bottled, unsweetened",94100100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.98,0,0,0,0,10,0.007,0,2,0,0,2,0,0,0,0,0,0,0
Water,"Water, bottled, sweetened, with low calorie sweetener",94100200,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,99.85,0,0,0,0,1,0,0,0,0,4,14,0,0,0,0,0,0,0
Water,"Water, bottled, flavored (Propel Water)",94210100,0,0,0,1.14,0,0,0,0,0,4.095,0,0,0,0,0,0,98.78,0,0,0,0,1,0,0.03,0,25,16,33,0,0,0,0.556,8.8,1.67,0
Water,"Water, bottled, flavored (SoBe Life Water)",94210300,0,0,0,1.25,0,0,0,0,0,0.833,0,0,0,0,0,0,98.75,0,0,0,0,0,0,0,0,0,8,10,0,0,0.25,0.083,25,0.56,0
Water,"Water, bottled, flavored, sugar free (Glaceau Vitamin Water)",94220215,0,0,0,0,0,0,0,0,0,3.384,0,0,0,0,0,0,99.17,0,0,0,0,0,0,0,0,0,148,0,0,0,1.02,0.338,10.2,0,0
Water,"Water, bottled, flavored, sugar free (SoBe)",94220310,0,0,0,0,0,0,0,0,0,0.845,0,0,0,0,0,0.011,99.89,0,0,0,0,2,0.006,0.05,1,0,10,42,0.01,0,0.17,0.056,2.5,0.57,0.2
Water,"Water, baby, bottled, unsweetened",94300100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
